disease,symptom,url_x,letter,name
Malignant brain tumour (cancerous),a computerised tomography (CT) scan – this produces a detailed picture of your brain using a series of X-rays,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
Acute lymphoblastic leukaemia,diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,A,Acute lymphoblastic leukaemia
Neuroblastoma: Children,tiredness,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/neuroblastoma-children/,N,Neuroblastoma: Children
Malignant brain tumour (cancerous),"These appointments may include a discussion of any worrying new symptoms you experience, a physical examination, and occasionally a brain scan.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
Bladder cancer,Symptoms of bladder cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bladder-cancer/,B,Bladder cancer
Lumbar stenosis,loss of sensation when you pass a bowel motion,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/lumbar-stenosis/,L,Lumbar stenosis
Post-traumatic stress disorder (PTSD),"prolonged sexual abuse, violence or severe neglect",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/post-traumatic-stress-disorder-ptsd/,P,Post-traumatic stress disorder (PTSD)
Ringworm and other fungal infections,nausea,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/ringworm-and-other-fungal-infections/,R,Ringworm and other fungal infections
Schizophrenia,"The exact causes of schizophrenia are unknown, but research suggests that a combination of physical, genetic, psychological and environmental factors can make people more likely to develop the condition.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/schizophrenia/,S,Schizophrenia
HIV,people who have caught another sexually transmitted infection (STI),https://www.nhsinform.scot/illnesses-and-conditions/immune-system/hiv/,H,HIV
Osteoarthritis of the hip,"stiffness in the hip, often in the morning or after resting.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/osteoarthritis-of-the-hip/,O,Osteoarthritis of the hip
Cellulitis,Cellulitis causes an area of skin to suddenly become:,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/cellulitis/,C,Cellulitis
Stomach ulcer,a course of antibiotics,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ulcer/,S,Stomach ulcer
Huntington’s disease,balance problems,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/huntingtons-disease/,H,Huntington’s disease
Lupus,a frequent need to urinate,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/lupus/,L,Lupus
Pancreatic cancer,The most obvious sign of jaundice is yellow skin and yellowing of the whites of the eyes. It also causes your urine to be dark yellow or orange and your stools (faeces) to be pale-coloured.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/pancreatic-cancer/,P,Pancreatic cancer
Kidney stones,bleeding during surgery,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/kidney-stones/,K,Kidney stones
Rheumatoid arthritis,check your joints for any swelling,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/rheumatoid-arthritis/,R,Rheumatoid arthritis
Hiatus hernia,"para-oesophageal hiatus hernias – also called rolling hiatus hernias, where part of the stomach pushes up through the hole in the diaphragm next to the oesophagus (about 5 to 15% of hiatus hernias are of this type)",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/hiatus-hernia/,H,Hiatus hernia
Bone cancer,Contact your specialist or GP if you develop symptoms of bone cancer again and think the cancer may have come back.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bone-cancer/,B,Bone cancer
Impetigo,Other symptoms of SSSS include:,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/impetigo/,I,Impetigo
Lupus,nausea and diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/lupus/,L,Lupus
Kidney cancer,cakes and biscuits,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/kidney-cancer/,K,Kidney cancer
Peripheral neuropathy,Carpal tunnel syndrome,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/peripheral-neuropathy/,P,Peripheral neuropathy
Gastro-oesophageal reflux disease (GORD),stop smoking – smoke can irritate your digestive system and may make your symptoms worse,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gastro-oesophageal-reflux-disease-gord/,G,Gastro-oesophageal reflux disease (GORD)
Raynaud’s phenomenon,"In many cases, it may be possible to control the symptoms of Raynaud’s yourself by avoiding the cold, wearing gloves and using relaxation techniques when feeling stressed.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/raynauds-phenomenon/,R,Raynaud’s phenomenon
Anal cancer,bowel control problems,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/anal-cancer/,A,Anal cancer
Nasal and sinus cancer,a bulging or persistently watering eye,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/nasal-and-sinus-cancer/,N,Nasal and sinus cancer
Laryngeal (larynx) cancer,"a change in your voice, such as sounding hoarse",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/laryngeal-larynx-cancer/,L,Laryngeal (larynx) cancer
Addison’s disease,dizziness,https://www.nhsinform.scot/illnesses-and-conditions/glands/addisons-disease/,A,Addison’s disease
Wolff-Parkinson-White syndrome,"This reduces the amount of blood being pumped around the body, which can give the symptoms of dizzy or light-headedness, shortness of breath, and faintness or fainting.",https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/wolff-parkinson-white-syndrome/,W,Wolff-Parkinson-White syndrome
Laryngitis,take medication to help control your allergy,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/laryngitis/,L,Laryngitis
Parkinson’s disease,stiff and inflexible muscles,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/parkinsons-disease/,P,Parkinson’s disease
Hodgkin lymphoma,"having medical treatment that weakens your immune system – for example, taking medication to suppress your immune system after an organ transplant",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/hodgkin-lymphoma/,H,Hodgkin lymphoma
Postnatal depression,"losing all sense of time, like being unaware whether 10 minutes or 2 hours have passed",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/postnatal-depression/,P,Postnatal depression
Chronic myeloid leukaemia,weight loss,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/chronic-myeloid-leukaemia/,C,Chronic myeloid leukaemia
Functional neurological disorder,The cognitive symptoms of FND can sometimes be mistaken for dementia. Specialists will look for features that are typical of functional cognitive symptoms when diagnosing FND.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/functional-neurological-disorder/,Unknown,
Headaches,vomiting,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/headaches/,H,Headaches
Sjogren’s syndrome,"joint pain, stiffness and swelling",https://www.nhsinform.scot/illnesses-and-conditions/immune-system/sjogrens-syndrome/,S,Sjogren’s syndrome
Cystic fibrosis,Some of the main symptoms of cystic fibrosis can include:,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/cystic-fibrosis/,C,Cystic fibrosis
Postnatal depression,difficulty bonding with your baby – feeling of indifference and no sense of enjoyment in their company,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/postnatal-depression/,P,Postnatal depression
Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS),They may be able to make a diagnosis after 3 or 4 months of seeing a pattern of symptoms. Anyone suspected of having ME/CFS should be considered for routine blood tests to identify other possible illnesses. More investigation may be needed if the diagnosis remains in doubt.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/myalgic-encephalomyelitis-me-or-chronic-fatigue-syndrome-cfs/,M,Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS)
Zika virus,lower back pain,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/zika-virus/,Z,Zika virus
Type 2 diabetes,Read more about the symptoms of type 2 diabetes,https://www.nhsinform.scot/illnesses-and-conditions/diabetes/type-2-diabetes/,T,Type 2 diabetes
Coeliac disease,Symptoms of coeliac disease vary from person to person and can range from mild to severe.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/coeliac-disease/coeliac-disease/,C,Coeliac disease
Addison’s disease,severe muscle weakness,https://www.nhsinform.scot/illnesses-and-conditions/glands/addisons-disease/,A,Addison’s disease
Chronic myeloid leukaemia,"As the number of immature cells increases, the number of healthy red blood cells and platelets fall, and it’s this fall which causes many of the symptoms of chronic leukaemia.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/chronic-myeloid-leukaemia/,C,Chronic myeloid leukaemia
Bowel cancer,alcohol and smoking – a high alcohol intake and smoking may increase your chances of getting bowel cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bowel-cancer/,B,Bowel cancer
Gonorrhoea,Symptoms of gonorrhoea may include:,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/gonorrhoea/,G,Gonorrhoea
Migraine,"Migraine headaches can be unpredictable, sometimes occurring without the other symptoms. Getting an accurate diagnosis can take time.",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/migraine/,M,Migraine
Panic disorder,sleep disturbances,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/panic-disorder/,P,Panic disorder
