letter,name,url
A,Abdominal aortic aneurysm,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/
A,Achilles tendinopathy,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/
A,Acne,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/
A,Acute cholecystitis,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/
A,Acute lymphoblastic leukaemia,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/
A,Acute lymphoblastic leukaemia: Children,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/acute-lymphoblastic-leukaemia-children/
A,Acute lymphoblastic leukaemia: Teenagers and young adults,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/acute-lymphoblastic-leukaemia-teenagers-and-young-adults/
A,Acute myeloid leukaemia,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-myeloid-leukaemia/
A,Acute myeloid leukaemia: Children,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/acute-myeloid-leukaemia-children/
A,Acute myeloid leukaemia: Teenagers and young adults,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/acute-myeloid-leukaemia-teenagers-and-young-adults/
A,Acute pancreatitis,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/
A,Addison’s disease,https://www.nhsinform.scot/illnesses-and-conditions/glands/addisons-disease/
A,Adenomyosis,https://www.nhsinform.scot/healthy-living/womens-health/girls-and-young-women-puberty-to-around-25/periods-and-menstrual-health/adenomyosis/
A,Alcohol-related liver disease,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/alcohol-related-liver-disease/
A,Allergic rhinitis,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/allergic-rhinitis/
A,Allergies,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/allergies/
A,Alzheimer’s disease,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/dementia/types-of-dementia/alzheimers-disease/
A,Anal cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/anal-cancer/
A,Anaphylaxis,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/anaphylaxis/
A,Angina,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/angina/
A,Angioedema,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/angioedema/
A,Ankle sprain,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/ankle-sprain/
A,Ankle avulsion fracture,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/ankle-avulsion-fracture/
A,Ankylosing spondylitis,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/ankylosing-spondylitis/
A,Anorexia nervosa,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anorexia-nervosa/
A,Anxiety,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety/
A,Anxiety disorders in children,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety-disorders-in-children/
A,Appendicitis,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/appendicitis/
A,Arterial thrombosis,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/arterial-thrombosis/
A,Arthritis,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/arthritis/
A,Asbestosis,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/asbestosis/
A,Asthma,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/asthma/
A,Ataxia,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/ataxia/
A,Atopic eczema,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/atopic-eczema/
A,Atrial fibrillation,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/atrial-fibrillation/
A,Attention deficit hyperactivity disorder (ADHD),https://www.nhsinform.scot/illnesses-and-conditions/mental-health/attention-deficit-hyperactivity-disorder-adhd/
A,Autism,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/autism/autism/
B,Bacterial vaginosis,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/bacterial-vaginosis/
B,Benign prostate enlargement,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/benign-prostate-enlargement/
B,Bile duct cancer (cholangiocarcinoma),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bile-duct-cancer-cholangiocarcinoma/
