disease,symptom,url_x,disease_cleaned,letter,name
Abdominal aortic aneurysm,shortness of breath,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,being overweight or obese,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,loss of consciousness,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"It’s not known exactly what causes the aortic wall to weaken, although increasing age and being male are known to be the biggest risk factors.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,rapid heartbeat (tachycardia),https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,Smoking is a major risk factor for aneurysms because it causes atherosclerosis (hardening of the arteries) and raises your blood pressure.,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"Because AAAs usually cause no symptoms, they tend to be diagnosed either as a result of screening or during a routine examination – for example, if a GP notices a pulsating sensation in your abdomen.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,Other symptoms include:,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"An abdominal aortic aneurysm (AAA) usually causes no symptoms. Therefore, they tend to be diagnosed as a result of screening, or during a routine physical examination when a GP notices a distinctive pulsating sensation in your abdomen.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,dizziness,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,not exercising regularly,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"Large aneurysms are rare, but can be very serious. If a large aneurysm bursts, it causes huge internal bleeding and is usually fatal.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,persistent abdominal pain,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,eating a high-fat diet,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"a pulsating feeling in your stomach (abdomen), usually near your belly button, that’s usually only noticeable when you touch it",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,persistent back pain,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"In most cases, an unruptured abdominal aortic aneurysm (AAA) will cause no symptoms, unless it becomes particularly large.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,feeling faint,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
