disease,symptom_cleaned,Causes,Symptoms
abdominal aortic aneurysm,"shortness of breath, being overweight or obese, loss of consciousness, it’s not known exactly what causes the aortic wall to weaken, although increasing age and being male are known to be the biggest risk factors., rapid heartbeat (tachycardia), smoking is a major risk factor for aneurysms because it causes atherosclerosis (hardening of the arteries) and raises your blood pressure., because aaas usually cause no symptoms, they tend to be diagnosed either as a result of screening or during a routine examination – for example, if a gp notices a pulsating sensation in your abdomen",major risk factor,"routine physical examination, routine examination –, huge internal bleeding, abdominal aortic aneurysm, blood pressure ., , shortness of breath, persistent back pain, loss of consciousness, large aneurysm bursts"
achilles tendinopathy,"symptoms may vary from person to person. they can appear gradually or suddenly., the causes can be varied but there are some common factors that are important",smoking,"poorly fitting footwear, level of exercise, diagnosis ., ., sedentary behaviour, suddenly ., , ., spending, wearing unsuitable, new sport, inflammatory arthritis, healthcare professional"
acne,"blood in your urine, non-ablative laser treatment – where lasers are used to stimulate the growth of new collagen (a type of protein found in skin), which helps to repair some of the damage caused by scarring, and improves the appearance, polycystic ovary syndrome – a common condition that can cause acne, weight gain and the formation of small cysts inside the ovary, certain medications – such as steroid medications, lithium (used to treat depression and bipolar disorder) and some anti-epileptic drugs (used to treat epilepsy), punch grafting – used to treat very deep ice pick scars. as with a punch excision, the scar is removed, but the wound is “plugged” with a sample of skin taken from elsewhere on the body (usually from the back of the ear)., a type of antidepressant called selective serotonin reuptake inhibitors (ssris), dry skin, acne is a common skin condition that affects most people at some point",,"“ plugged ”, regularly wearing items, could actually make, cognitive behavioural therapy, photodynamic therapy –, comedone extractor –, start to improve, hirsutism ), headaches, helps to repair, colouring ), irregular"
acute cholecystitis,"an ultrasound scan of your abdomen to check for gallstones or other signs of a problem with your gallbladder, the causes of acute cholecystitis can be grouped into 2 main categories: calculous cholecystitis and acalculous cholecystitis., although some people who have had their gallbladder removed have reported symptoms of bloating and diarrhoea after eating certain foods, you can lead a perfectly normal life without a gallbladder., loss of appetite, yellowing of the skin and the whites of the eyes (jaundice), some people may additional symptoms, such as:, if your symptoms suggest you have acute cholecystitis, your gp will refer you to hospital immediately for further tests and treatment",,"treatment ., sweating, eating certain foods, 2 main categories, to hospital immediately, acalculous cholecystitis ., , fever ), nausea, ultrasound scan of, acute cholecystitis ., , signs of inflammation, abdomen to check"
acute lymphoblastic leukaemia,"treating acute lymphoblastic leukaemia, skin rashes, coughing up blood from your nose and mouth, neutrophils, which perform several functions, such as fighting bacterial infections, defending the body against parasites and preventing the spread of tissue damage, passing stools (faeces) that are very dark or tar-like, unusual and frequent bleeding, such as bleeding gums or nose bleeds, lymphocytes, which are mostly used to fight viral infections, dizziness, swelling in the face and lower legs, symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of blast cells (immature white blood cells) in your blood increases., aching muscles, unusual and frequent bleeding, symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of immature white blood cells in your blood increases. symptoms include:, as the number of blast cells increases there is a drop in the number of red blood cells and platelet cells",,"unexplained weight loss, still highly unlikely, perform several functions, central nervous system, carry oxygen around, easily bruised skin, bluish skin tone, rapidly getting severe, rapidly getting severe, suddenly get worse"
acute lymphoblastic leukaemia: children,"chronic myeloid (cml), at first, the symptoms are just like those of a viral infection, but when they continue for more than a week or two, the diagnosis usually becomes clear., acute myeloid (aml), a test called a lumbar puncture is done to see if the spinal fluid contains any leukaemia cells. a chest x-ray is also done, which will show if there are any enlarged glands in the chest","certain genetic disorders, viral infection","spinal fluid contains, particularly identical twins, ., acute lymphoblastic, test called, lumbar puncture, leukaemia cells, enlarged glands, chronic myeloid"
acute lymphoblastic leukaemia: teenagers and young adults,"it’s not known exactly what causes all. research is going on to try to find out., chest x-ray – this may also be done to see if there are any swollen lymph nodes (glands) in your chest, blood tests – you’ll need more blood tests even if you’ve had some already to look at the changes in the leukaemia cells and help the doctors decide on the best treatment for you, there can be other reasons you may have these symptoms",,"high temperature without, could take longer, carry oxygen from, anaemia ), introduction, lumbar puncture –, taken to check, important to remember, bleeding to stop, already to look, acute lymphoblastic leukaemia"
acute myeloid leukaemia,"chronic myeloid leukaemia, a headache, skin rashes, you should see your gp if you or your child have possible symptoms of aml. although it’s highly unlikely that leukaemia is the cause, these symptoms should be investigated., nausea, loss of appetite, diagnosing acute myeloid leukaemia, infertility – which may be temporary or permanent (see complications of aml for more information), the mutation causes the stem cells to produce many more white blood cells that are needed",fighting bacterial infections,"suddenly get worse, central nervous system, :, hair loss, chronic myeloid leukaemia, chronic lymphocytic leukaemia, acute myeloid leukaemia, white blood cells, underlying blood disorder, mature healthy cells"
acute myeloid leukaemia: children,"chronic myeloid (cml), cells that have started to show some of the features of myeloid cells are said to show differentiation. cells that do not show signs of becoming a particular type of white blood cell are known as undifferentiated., chronic lymphocytic (cll), acute myeloid (aml), the exact cause of aml is unknown","certain genetic disorders, viral infection","spinal fluid contains, becomes clear ., , courses of chemotherapy, cml ), cells, started to show, test called, still small, myelodysplastic syndromes"
acute myeloid leukaemia: teenagers and young adults,"chest x-ray – this may also be done to see if there are any swollen lymph nodes (glands) in your chest, if you think you might have any of the symptoms of aml, you should go to your gp. they’ll talk to you about your symptoms, examine you and can arrange tests or refer you to see a specialist. remember that the symptoms can be caused by other things, but it’s important to go and get checked if you are worried",,"worried ., etoposide, hospital ., aches, high temperature without, could take longer, carry oxygen from, get send samples, lumbar puncture –, blurred vision –, taken to check, already to look"
